fid,new.fid,month,year,site,water,new.water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,stan.temp,old.water.id,new.water.id,water.vvha,water.plif,log.vvha,log.pilf,stan.vvha,stan.pilf,,,,,,,
68,20,9,2012,2,17,5,1.0E-01,3,3,3,3,0,1,1,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
68,20,9,2012,2,17,5,1.0E-02,3,3,3,3,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
68,20,9,2012,2,17,5,1.0E-03,3,2,1,1,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
68,20,9,2012,2,17,5,1.0E-04,2,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
68,20,9,2012,2,17,5,1.0E-05,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
68,20,9,2012,2,17,5,1.0E-06,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
68,20,9,2012,2,17,5,1.0E-07,0,0,0,0,0,0,0,25,22,0.587362104,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
69,21,9,2012,3,18,6,1.0E-01,3,3,3,3,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
69,21,9,2012,3,18,6,1.0E-02,3,3,1,3,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
69,21,9,2012,3,18,6,1.0E-03,3,2,2,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
69,21,9,2012,3,18,6,1.0E-04,3,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
69,21,9,2012,3,18,6,1.0E-05,0,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
69,21,9,2012,3,18,6,1.0E-06,0,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
69,21,9,2012,3,18,6,1.0E-07,0,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
70,22,9,2012,3,18,6,1.0E-01,3,3,2,3,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
70,22,9,2012,3,18,6,1.0E-02,3,3,1,3,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
70,22,9,2012,3,18,6,1.0E-03,3,1,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
70,22,9,2012,3,18,6,1.0E-04,0,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
70,22,9,2012,3,18,6,1.0E-05,0,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
70,22,9,2012,3,18,6,1.0E-06,0,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
70,22,9,2012,3,18,6,1.0E-07,0,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
71,23,9,2012,3,18,6,1.0E-01,3,3,3,3,2,0,2,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
71,23,9,2012,3,18,6,1.0E-02,3,3,1,3,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
71,23,9,2012,3,18,6,1.0E-03,3,0,0,1,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
71,23,9,2012,3,18,6,1.0E-04,2,0,0,1,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
71,23,9,2012,3,18,6,1.0E-05,0,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
71,23,9,2012,3,18,6,1.0E-06,0,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
71,23,9,2012,3,18,6,1.0E-07,0,0,0,0,0,0,0,24,20,0.405959114,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,
