fid,month,year,site,water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,water.vvha,vvha.pre,water.plif,pilf.pre,water.tlh,tlh.pre,water.path,path.pre
18,5,2012,2,5,1.0E-02,3,0,NA,3,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
18,5,2012,2,5,1.0E-03,3,0,NA,2,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
18,5,2012,2,5,1.0E-04,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
18,5,2012,2,5,1.0E-05,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
18,5,2012,2,5,1.0E-06,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
18,5,2012,2,5,1.0E-07,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
19,5,2012,2,5,1.0E-01,3,3,NA,3,3,2,3,20,21,NA,NA,NA,NA,NA,NA,NA,NA
19,5,2012,2,5,1.0E-02,3,0,NA,1,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
19,5,2012,2,5,1.0E-03,3,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
19,5,2012,2,5,1.0E-04,1,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
19,5,2012,2,5,1.0E-05,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
19,5,2012,2,5,1.0E-06,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
19,5,2012,2,5,1.0E-07,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
20,5,2012,2,5,1.0E-01,3,3,NA,3,2,2,2,20,21,NA,NA,NA,NA,NA,NA,NA,NA
20,5,2012,2,5,1.0E-02,3,0,NA,3,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
20,5,2012,2,5,1.0E-03,3,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
20,5,2012,2,5,1.0E-04,1,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
20,5,2012,2,5,1.0E-05,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
20,5,2012,2,5,1.0E-06,0,0,NA,0,0,0,0,20,21,NA,NA,NA,NA,NA,NA,NA,NA
20,5,2012,2,5,1.0E-07,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
21,5,2012,3,6,1.0E-01,3,3,NA,3,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
21,5,2012,3,6,1.0E-02,3,3,NA,1,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
21,5,2012,3,6,1.0E-03,3,0,NA,1,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
21,5,2012,3,6,1.0E-04,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
21,5,2012,3,6,1.0E-05,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
21,5,2012,3,6,1.0E-06,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
21,5,2012,3,6,1.0E-07,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
22,5,2012,3,6,1.0E-01,3,3,NA,3,2,3,3,22,21,NA,NA,NA,NA,NA,NA,NA,NA
22,5,2012,3,6,1.0E-02,3,3,NA,3,1,1,1,22,21,NA,NA,NA,NA,NA,NA,NA,NA
22,5,2012,3,6,1.0E-03,3,0,NA,3,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
22,5,2012,3,6,1.0E-04,1,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
22,5,2012,3,6,1.0E-05,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
22,5,2012,3,6,1.0E-06,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
22,5,2012,3,6,1.0E-07,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
23,5,2012,3,6,1.0E-01,3,3,NA,3,1,2,2,22,21,NA,NA,NA,NA,NA,NA,NA,NA
23,5,2012,3,6,1.0E-02,3,1,NA,3,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
23,5,2012,3,6,1.0E-03,2,0,NA,2,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
23,5,2012,3,6,1.0E-04,1,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
23,5,2012,3,6,1.0E-05,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
23,5,2012,3,6,1.0E-06,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
23,5,2012,3,6,1.0E-07,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
24,5,2012,3,6,1.0E-01,3,3,NA,3,3,2,3,22,21,NA,NA,NA,NA,NA,NA,NA,NA
24,5,2012,3,6,1.0E-02,3,0,NA,3,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
24,5,2012,3,6,1.0E-03,3,0,NA,3,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
24,5,2012,3,6,1.0E-04,2,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
24,5,2012,3,6,1.0E-05,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
24,5,2012,3,6,1.0E-06,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
24,5,2012,3,6,1.0E-07,0,0,NA,0,0,0,0,22,21,NA,NA,NA,NA,NA,NA,NA,NA
25,6,2012,1,7,1.0E-01,3,3,NA,3,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
25,6,2012,1,7,1.0E-02,3,3,NA,3,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
25,6,2012,1,7,1.0E-03,3,3,NA,1,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
25,6,2012,1,7,1.0E-04,2,1,NA,0,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
25,6,2012,1,7,1.0E-05,0,0,NA,0,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
25,6,2012,1,7,1.0E-06,0,0,NA,0,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
25,6,2012,1,7,1.0E-07,0,0,NA,0,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
26,6,2012,1,7,1.0E-01,3,3,NA,3,0,1,1,23,15,NA,NA,NA,NA,NA,NA,NA,NA
26,6,2012,1,7,1.0E-02,3,3,NA,3,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
26,6,2012,1,7,1.0E-03,3,3,NA,0,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
26,6,2012,1,7,1.0E-04,3,2,NA,0,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
26,6,2012,1,7,1.0E-05,0,0,NA,0,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
26,6,2012,1,7,1.0E-06,0,0,NA,0,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
26,6,2012,1,7,1.0E-07,0,0,NA,0,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
27,6,2012,1,7,1.0E-01,3,3,NA,3,0,3,3,23,15,NA,NA,NA,NA,NA,NA,NA,NA
27,6,2012,1,7,1.0E-02,3,3,NA,3,0,2,2,23,15,NA,NA,NA,NA,NA,NA,NA,NA
27,6,2012,1,7,1.0E-03,3,3,NA,2,0,2,2,23,15,NA,NA,NA,NA,NA,NA,NA,NA
27,6,2012,1,7,1.0E-04,1,0,NA,1,0,0,0,23,15,NA,NA,NA,NA,NA,NA,NA,NA
