fid,month,year,site,water,mass,turb,vvha,pilf,tlh,tdh,trh,path,temp,sal,water.vvha,water.plif,water.tlh,water.path
25,10,2012,1,7,1.00E-07,0,0,0,0,0,0,0,18,15,NA,NA,NA,NA
26,10,2012,1,7,1.00E-01,3,3,3,3,0,1,1,18,15,NA,NA,NA,NA
26,10,2012,1,7,1.00E-02,3,3,3,3,0,0,0,18,15,NA,NA,NA,NA
26,10,2012,1,7,1.00E-03,3,3,2,2,0,0,0,18,15,NA,NA,NA,NA
26,10,2012,1,7,1.00E-04,3,1,0,0,0,0,0,18,15,NA,NA,NA,NA
26,10,2012,1,7,1.00E-05,2,0,0,0,0,0,0,18,15,NA,NA,NA,NA
26,10,2012,1,7,1.00E-06,0,0,0,0,0,0,0,18,15,NA,NA,NA,NA
26,10,2012,1,7,1.00E-07,0,0,0,0,0,0,0,18,15,NA,NA,NA,NA
27,10,2012,3,8,1.00E-01,3,3,1,3,0,1,1,22,21,NA,NA,NA,NA
27,10,2012,3,8,1.00E-02,3,3,1,2,0,0,0,22,21,NA,NA,NA,NA
27,10,2012,3,8,1.00E-03,3,1,0,0,0,0,0,22,21,NA,NA,NA,NA
27,10,2012,3,8,1.00E-04,1,0,0,1,0,0,0,22,21,NA,NA,NA,NA
27,10,2012,3,8,1.00E-05,0,0,0,0,0,0,0,22,21,NA,NA,NA,NA
27,10,2012,3,8,1.00E-06,0,0,0,0,0,0,0,22,21,NA,NA,NA,NA
27,10,2012,3,8,1.00E-07,0,0,0,0,0,0,0,22,21,NA,NA,NA,NA
28,10,2012,3,8,1.00E-01,3,3,2,3,1,1,1,22,21,NA,NA,NA,NA
28,10,2012,3,8,1.00E-02,3,1,0,3,0,0,0,22,21,NA,NA,NA,NA
28,10,2012,3,8,1.00E-03,3,0,0,1,0,0,0,22,21,NA,NA,NA,NA
28,10,2012,3,8,1.00E-04,3,0,0,2,0,0,0,22,21,NA,NA,NA,NA
28,10,2012,3,8,1.00E-05,3,1,0,0,0,0,0,22,21,NA,NA,NA,NA
28,10,2012,3,8,1.00E-06,2,0,0,0,0,0,0,22,21,NA,NA,NA,NA
28,10,2012,3,8,1.00E-07,3,0,0,0,0,0,0,22,21,NA,NA,NA,NA
29,10,2012,3,8,1.00E-01,3,3,1,3,0,0,0,22,21,NA,NA,NA,NA
29,10,2012,3,8,1.00E-02,3,3,0,3,0,0,0,22,21,NA,NA,NA,NA
29,10,2012,3,8,1.00E-03,3,1,1,2,0,0,0,22,21,NA,NA,NA,NA
29,10,2012,3,8,1.00E-04,3,1,0,1,0,0,0,22,21,NA,NA,NA,NA
29,10,2012,3,8,1.00E-05,1,0,0,0,0,0,0,22,21,NA,NA,NA,NA
29,10,2012,3,8,1.00E-06,0,0,0,0,0,0,0,22,21,NA,NA,NA,NA
29,10,2012,3,8,1.00E-07,0,0,0,0,0,0,0,22,21,NA,NA,NA,NA
30,10,2012,3,8,1.00E-01,3,3,2,3,0,0,0,22,21,NA,NA,NA,NA
30,10,2012,3,8,1.00E-02,3,1,0,2,0,0,0,22,21,NA,NA,NA,NA
30,10,2012,3,8,1.00E-03,3,0,0,0,0,0,0,22,21,NA,NA,NA,NA
30,10,2012,3,8,1.00E-04,1,1,1,1,0,0,0,22,21,NA,NA,NA,NA
30,10,2012,3,8,1.00E-05,1,0,0,0,0,0,0,22,21,NA,NA,NA,NA
30,10,2012,3,8,1.00E-06,2,0,0,0,0,0,0,22,21,NA,NA,NA,NA
30,10,2012,3,8,1.00E-07,1,1,1,0,0,0,0,22,21,NA,NA,NA,NA
31,4,2014,1,9,1.00E-01,3,1,0,0,0,0,0,14,11,NA,NA,NA,NA
31,4,2014,1,9,1.00E-02,3,2,0,0,0,0,0,14,11,NA,NA,NA,NA
31,4,2014,1,9,1.00E-03,1,0,0,0,0,0,0,14,11,NA,NA,NA,NA
31,4,2014,1,9,1.00E-04,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
31,4,2014,1,9,1.00E-05,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
31,4,2014,1,9,1.00E-06,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
32,4,2014,1,9,1.00E-01,3,0,0,0,0,0,0,14,11,NA,NA,NA,NA
32,4,2014,1,9,1.00E-02,3,0,0,0,0,0,0,14,11,NA,NA,NA,NA
32,4,2014,1,9,1.00E-03,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
32,4,2014,1,9,1.00E-04,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
32,4,2014,1,9,1.00E-05,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
32,4,2014,1,9,1.00E-06,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
33,4,2014,1,9,1.00E-01,3,0,0,0,0,0,0,14,11,NA,NA,NA,NA
33,4,2014,1,9,1.00E-02,3,0,0,0,0,0,0,14,11,NA,NA,NA,NA
33,4,2014,1,9,1.00E-03,1,0,0,0,0,0,0,14,11,NA,NA,NA,NA
33,4,2014,1,9,1.00E-04,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
33,4,2014,1,9,1.00E-05,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
33,4,2014,1,9,1.00E-06,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
34,4,2014,1,9,1.00E-01,3,0,0,0,0,0,0,14,11,NA,NA,NA,NA
34,4,2014,1,9,1.00E-02,3,0,0,0,0,0,0,14,11,NA,NA,NA,NA
34,4,2014,1,9,1.00E-03,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
34,4,2014,1,9,1.00E-04,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
34,4,2014,1,9,1.00E-05,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
34,4,2014,1,9,1.00E-06,0,0,0,0,0,0,0,14,11,NA,NA,NA,NA
35,4,2014,2,10,1.00E-01,3,0,0,1,1,0,1,15,19,NA,NA,NA,NA
35,4,2014,2,10,1.00E-02,3,0,0,0,0,0,0,15,19,NA,NA,NA,NA
35,4,2014,2,10,1.00E-03,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
35,4,2014,2,10,1.00E-04,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
35,4,2014,2,10,1.00E-05,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
35,4,2014,2,10,1.00E-06,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
36,4,2014,2,10,1.00E-01,3,0,0,2,0,0,0,15,19,NA,NA,NA,NA
36,4,2014,2,10,1.00E-02,3,0,0,0,0,0,0,15,19,NA,NA,NA,NA
36,4,2014,2,10,1.00E-03,1,0,0,0,0,0,0,15,19,NA,NA,NA,NA
36,4,2014,2,10,1.00E-04,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
36,4,2014,2,10,1.00E-05,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
36,4,2014,2,10,1.00E-06,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
37,4,2014,2,10,1.00E-01,3,0,0,2,0,0,0,15,19,NA,NA,NA,NA
37,4,2014,2,10,1.00E-02,3,0,0,0,0,0,0,15,19,NA,NA,NA,NA
37,4,2014,2,10,1.00E-03,3,0,0,0,0,0,0,15,19,NA,NA,NA,NA
37,4,2014,2,10,1.00E-04,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
37,4,2014,2,10,1.00E-05,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
37,4,2014,2,10,1.00E-06,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
38,4,2014,2,10,1.00E-01,3,0,0,3,2,0,2,15,19,NA,NA,NA,NA
38,4,2014,2,10,1.00E-02,3,0,0,0,0,0,0,15,19,NA,NA,NA,NA
38,4,2014,2,10,1.00E-03,2,1,0,0,0,0,0,15,19,NA,NA,NA,NA
38,4,2014,2,10,1.00E-04,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
38,4,2014,2,10,1.00E-05,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
38,4,2014,2,10,1.00E-06,0,0,0,0,0,0,0,15,19,NA,NA,NA,NA
39,4,2014,4,11,1.00E-01,3,0,0,1,0,0,0,14,34,NA,NA,NA,NA
39,4,2014,4,11,1.00E-02,2,0,0,0,0,0,0,14,34,NA,NA,NA,NA
39,4,2014,4,11,1.00E-03,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
39,4,2014,4,11,1.00E-04,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
39,4,2014,4,11,1.00E-05,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
39,4,2014,4,11,1.00E-06,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
40,4,2014,4,11,1.00E-01,3,0,0,0,0,0,0,14,34,NA,NA,NA,NA
40,4,2014,4,11,1.00E-02,1,0,0,0,0,0,0,14,34,NA,NA,NA,NA
40,4,2014,4,11,1.00E-03,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
40,4,2014,4,11,1.00E-04,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
40,4,2014,4,11,1.00E-05,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
40,4,2014,4,11,1.00E-06,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
41,4,2014,4,11,1.00E-01,3,0,0,0,0,0,0,14,34,NA,NA,NA,NA
41,4,2014,4,11,1.00E-02,1,0,0,0,0,0,0,14,34,NA,NA,NA,NA
41,4,2014,4,11,1.00E-03,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
41,4,2014,4,11,1.00E-04,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
41,4,2014,4,11,1.00E-05,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
41,4,2014,4,11,1.00E-06,0,0,0,0,0,0,0,14,34,NA,NA,NA,NA
42,4,2014,4,11,1.00E-01,3,0,0,0,0,0,0,14,34,NA,NA,NA,NA
